Time,Channel 0,Sensor
5.6325,4058,538
5.634166667,4058,534
5.635833333,4059,540
5.6375,4058,536
5.639166667,4058,534
5.640833333,4058,533
5.6425,4058,536
5.644166667,4057,535
5.645833333,4058,536
5.6475,4058,539
5.649166667,4059,535
5.650833333,4059,540
5.6525,4058,539
5.654166667,4058,538
5.655833333,4058,536
5.6575,4059,533
5.659166667,4057,535
5.660833333,4057,537
5.6625,4057,540
5.664166667,4058,539
5.665833333,4059,533
5.6675,4058,535
5.669166667,4058,537
5.670833333,4058,539
5.6725,4058,538
5.674166667,4058,533
5.675833333,4058,537
5.6775,4058,538
5.679166667,4058,538
5.680833333,4058,538
5.6825,4058,534
5.684166667,4058,540
5.685833333,4058,537
5.6875,4058,541
5.689166667,4057,536
5.690833333,4058,534
5.6925,4057,538
5.694166667,4058,536
5.695833333,4057,537
5.6975,4058,532
5.699166667,4058,536
5.700833333,4058,537
5.7025,4058,540
5.704166667,4058,540
5.705833333,4057,536
5.7075,4058,534
5.709166667,4058,538
5.710833333,4058,538
5.7125,4057,538
5.714166667,4057,535
5.715833333,4057,534
5.7175,4058,534
5.719166667,4057,539
5.720833333,4059,543
5.7225,4058,537
5.724166667,4058,535
5.725833333,4058,540
5.7275,4059,539
5.729166667,4059,539
5.730833333,4058,537
5.7325,4056,538
5.734166667,4056,537
5.735833333,4057,537
5.7375,4057,539
5.739166667,4058,535
5.740833333,4058,536
5.7425,4058,534
5.744166667,4057,538
5.745833333,4059,540
5.7475,4057,532
5.749166667,4058,534
5.750833333,4058,539
5.7525,4059,541
5.754166667,4058,539
5.755833333,4058,539
5.7575,4058,535
5.759166667,4058,542
5.760833333,4057,539
5.7625,4058,543
5.764166667,4058,538
5.765833333,4057,537
5.7675,4057,537
5.769166667,4057,539
5.770833333,4058,542
5.7725,4059,538
5.774166667,4058,537
5.775833333,4058,540
5.7775,4059,543
5.779166667,4057,541
5.780833333,4058,539
5.7825,4057,534
5.784166667,4056,534
5.785833333,4058,543
5.7875,4058,539
5.789166667,4058,536
5.790833333,4059,537
5.7925,4059,538
5.794166667,4059,542
5.795833333,4058,539
5.7975,4058,537
5.799166667,4057,538
5.800833333,4057,538
5.8025,4057,540
5.804166667,4058,544
5.805833333,4057,534
5.8075,4058,539
5.809166667,4059,543
5.810833333,4057,541
5.8125,4059,541
5.814166667,4058,538
5.815833333,4058,538
5.8175,4058,541
5.819166667,4058,541
5.820833333,4058,541
5.8225,4058,536
5.824166667,4058,539
5.825833333,4058,541
5.8275,4058,541
5.829166667,4058,543
5.830833333,4058,539
5.8325,4059,540
5.834166667,4058,539
5.835833333,4058,546
5.8375,4058,545
5.839166667,4058,538
5.840833333,4058,539
5.8425,4058,541
5.844166667,4058,544
5.845833333,4058,545
5.8475,4057,541
5.849166667,4058,539
5.850833333,4058,542
5.8525,4057,542
5.854166667,4058,545
5.855833333,4058,544
5.8575,4058,537
5.859166667,4058,540
5.860833333,4058,546
5.8625,4058,544
5.864166667,4058,539
5.865833333,4058,542
5.8675,4058,540
5.869166667,4058,542
5.870833333,4058,542
5.8725,4058,543
5.874166667,4058,541
5.875833333,4059,543
5.8775,4059,545
5.879166667,4058,545
5.880833333,4058,541
5.8825,4058,539
5.884166667,4058,542
5.885833333,4058,545
5.8875,4058,548
5.889166667,4058,543
5.890833333,4058,542
5.8925,4058,541
5.894166667,4058,547
5.895833333,4059,546
5.8975,4058,543
5.899166667,4057,539
5.900833333,4058,544
